id,qid1,qid2,question1,question2,is_duplicate
53,107,108,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1
54,109,110,How GST affects the CAs and tax officers?,Why can't I do my homework?,0
55,111,112,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0
56,113,114,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0
57,115,116,What are some good rap songs to dance to?,What are some of the best rap songs?,0
58,117,118,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,1
59,119,120,What are the best ways to learn French?,How do I learn french genders?,0
60,121,122,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0
61,123,124,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0
62,125,126,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,1
63,127,128,Why do I always get depressed?,Why do I always get depressed in the evening?,0
64,129,130,Where can I find a European family office database?,Where do I find a U.S. family office database?,0
65,131,132,What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,1
66,133,134,What is the best book ever made?,What is the most important book you have ever read?,1
67,135,136,Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,1
68,137,138,What is your review of Performance Testing?,What is performance testing?,0
69,139,140,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0
70,141,142,What are the types of immunity?,What are the different types of immunity in our body?,0
71,143,144,What is a narcissistic personality disorder?,What is narcissistic personality disorder?,1
72,145,146,How I can speak English fluently?,How can I learn to speak English fluently?,1
73,147,148,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?,1
74,149,150,Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?,1
75,151,152,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",0
76,153,154,How do I prevent breast cancer?,Is breast cancer preventable?,0
77,155,156,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0
78,157,158,How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?",0
79,159,160,What is purpose of life?,What's the purpose of life? What is life actually about?,1
80,161,162,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0
81,163,164,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0
82,165,166,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0
83,167,168,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0
84,169,170,What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1
85,171,172,How can I increase my height after 21 also?,Can height increase after 25?,1
86,173,174,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",1
87,175,176,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0
88,177,178,Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,1
89,179,180,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0
90,181,182,What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0
91,183,184,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0
92,185,186,What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,1
93,187,188,What causes a nightmare?,What causes nightmares that seem real?,1
94,189,190,What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0
95,191,192,How does 3D printing work?,How do 3D printing work?,1
96,193,194,What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,0
97,195,196,Why did harry become a horcrux?,What is a Horcrux?,0
98,197,198,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0
99,199,200,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0
100,201,202,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,Will there be a nuclear war between India and Pakistan?,1
101,203,204,Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0
102,205,206,What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0
103,207,208,Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,0
104,209,210,Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1
105,211,212,Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0
106,213,214,Have you ever heard of travel hacking?,Can WhatsApp be hacked?,0
107,215,216,What's the difference between love and pity?,What is the difference between love and pity?,1
108,217,218,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0
109,219,220,How Google helps in spam ranking adjustment of the search results?,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",0
110,221,222,Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0
111,223,224,Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0
112,225,226,How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,0
113,227,228,What do you think China food?,How do you think of Chinese food?,1
114,229,230,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0
115,231,232,Why do we cry when we are happy and when we are sad?,Why do we cry?,0
116,233,234,Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0
117,235,236,"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0
118,237,238,What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0
119,239,240,Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,0
120,241,242,Why my question was marked as needing imrovement?,How can I ask a question without getting marked as â€˜need to improveâ€™?,1
121,243,244,What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?",0
122,245,246,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1
123,247,248,What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0
124,249,250,What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,0
125,251,252,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",Why does China support Masood Azhar?,1
126,253,254,What is the mean of future budget?,What is the meaning of the future?,0
127,255,256,Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,1
128,257,258,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0
129,259,260,How do I access Torbox in India?,How do I access Google.com from India?,0
130,261,262,What are some yakshini mantras?,What is a Yantra & Mantra?,0
131,263,264,Was six party talks successful?,Which course is better in NICMAR?,0
132,265,266,How do I register my domain site email?,How do you register a .an domain?,0
133,267,268,Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,0
134,269,270,What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,0
135,271,272,Who are the Rohingya Muslims?,Who are the Rohingya people?,1
136,273,274,Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,1
137,275,276,Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0
138,277,278,How i get hair on bald head?,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",0
139,279,280,What is the ideal life after retirement?,What's life after retirement?,0
140,281,282,What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0
141,283,284,What are good websites for escorts?,How do I find a good escort?,0
142,285,286,Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,0
143,287,288,Does a black hole have mass?,Does a black hole have a finite mass?,1
144,289,290,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,1
145,291,292,Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0
146,293,294,How would you review the site Waveclues?,Is there a good pay for reviews site out there?,0
147,295,296,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0
148,297,298,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0
149,299,300,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0
150,301,302,How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0
151,303,304,How can I stop being afraid of working?,How do you stop being afraid of everything?,0
152,305,306,Why does Red keep the keys in OITNB?,Why does Red keep the keys in season 4 of Orange is the New Black?,1
153,307,308,At what age should someone lose their virginity?,"At what age, how, and where did you lose your virginity?",0
154,309,310,How forgetful are you?,How can I forget my wife?,0
155,311,312,Could Snoke secretly be Darth Maul?,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,0
156,313,314,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,1
157,315,316,Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0
158,317,318,What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1
159,319,320,Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,1
160,321,322,What is the funniest joke you know?,What is the funniest joke of all time?,1
161,323,324,"I got job offer @ Chelmsford-Essex, London with Â£3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0
162,325,326,What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0
163,327,328,How do I use Twitter as a business source?,How can I use Twitter for business?,1
164,329,330,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0
165,331,332,Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1
166,333,334,Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0
167,335,336,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?",0
168,337,338,Which are the best engineering fields?,What is the best field of engineering?,1
169,339,340,How do you make life suit you and stop life from abusing you mentally and emotionally?,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",0
170,341,342,What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0
171,343,344,Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0
172,345,346,What is the best way to gain confidence?,How can I speak with more clarity and confidence?,0
173,347,348,Does anyone see the relation between Greek gods and Hindu gods?,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",1
174,349,350,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0
175,351,352,Which is the best fixed income fund?,What is the best fixed income fund?,1
176,353,354,What is it like to live in Cologne?,"What is it like to live in KÃ¶ln, Germany? ",1
177,355,356,"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0
178,357,358,Why does some people prefer small families.?,Why do some people prefer to live with small family?,1
179,359,360,Do animals kiss?,Do animals (besides humans) kiss?,1
180,361,362,How do you get deleted Instagram chats?,How can I view deleted Instagram dms?,1
181,363,364,How can I stop being addicted to love?,How do I stop being addicted to someone?,0
182,365,366,What if I hired two private eyes and ordered them to follow each other?,Would I be able to hire two private investigators and then get them to follow each other?,1
183,367,368,How do I find a startup accelerator?,How do startup accelerators give you the funding?,0
184,369,370,How can I check wifi history and access it through android phones?,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,0
185,371,372,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",1
186,373,374,What is the most creative college admissions essay you've read?,Has any college admission officer cried in public while reading an applicant's essay?,0
187,375,376,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",What happens if eye medicine enters the eye?,0
188,377,378,Is it possible to pursue many different things in life?,How do I refuse to chose between different things to do in my life?,1
189,379,380,Did Ben Affleck shine more than Christian Bale as Batman?,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",1
190,381,382,Which business is good start up in Hyderabad?,Which business is better to start in Hyderabad?,1
191,383,384,How can I stop being so possessive?,How do I stop being over possessive for a person whom I love?,1
192,385,386,Who was the wife of Lord Krishna?,Who is the father of lord Krishna?,0
193,387,388,What is the best combination of courses I can take up along with CA to enhance my career?,What courses must be taken along with CA course?,1
194,389,390,How do you take a screenshot on a Mac laptop?,How do I take a screenshot on my MacBook Pro? What are some instructions?,1
195,391,392,What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0
196,393,394,Which psychological need does 'collecting' fulfill?,Why do people collect things?,0
197,395,396,What are some must watch TV shows before you die?,Are there any must watch TV shows?,1
198,397,398,How can I become more fluent in Chinese?,How can I become fluent in chinese?,1
199,399,400,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,What will be the impact of scrapping of â‚¹500 and â‚¹1000 rupee notes on the real estate market?,1
200,401,402,What is the easiest way to become a billionaire($)?,What is the best way to become a billionaire?,1
201,403,404,Are there People who are willing to give free lectures or conduct free workshop in India colleges?,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",0
202,405,406,What's the best way to start learning robotics?,What is the best way to start robotics? Which is the best development board that I can start working on it?,0
203,407,408,Why do people hate Hillary Clinton?,What are the reasons that people dislike Hillary Clinton?,1
204,409,410,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",0
205,411,412,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?","Is atheism the lack of belief in gods, or a claim that god does not exist?",0
206,413,414,What is it like to be Jack Dorsey?,What is Jack Dorsey like?,0
207,415,416,What are the best quotes/lessons of the Assassin's Creed series?,Which assassin has the best robes in Assassin's Creed?,0
208,417,418,"Do inkjet printers use color ink when printing black and white documents? If so, why?","If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?",0
209,419,420,Why is creativity important?,Why creativity is important?,1
210,421,422,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,1
211,423,424,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,Why don't phones have a built-in FM antenna?,0
212,425,426,What are the best career growth technologies for automation engineers apart from automation tools?,Himalayan or Duke KTM 200 for touring?,0
213,427,428,What are the disadvantages of listing a company in NSE?,What are the benefits of listing a company in NSE?,0
214,429,430,How many derivatives of an object's position with respect to time have to be continuous?,When does drawing become fun?,0
215,431,432,Is the neutron star made up of?,Is the neutron star made up of only neutrons?,1
216,433,434,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?,Is a 3.8 GPA sufficient to get into a top school?,1
217,435,436,What is a profitable way to trade binary options?,What is binary options trading?,0
218,437,438,How do I utilize free time to avoid depression?,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,0
219,439,440,How can I learn computer security?,How can I get started to learn information security?,1
220,441,442,How do I earn from Quora?,Can I earn money on Quora?,1
221,443,444,What is my puk code?,What's the PUK for TF64SIMC4?,1
222,445,446,How can I find job in Japan?,How can I find an IT job in Japan?,0
223,447,448,"What are some examples of sentences using the word ""hysteria""?",What is the best home wireless network setup and expected speeds?,0
224,449,450,Will there be another billion dollar lottery Jackpot?,When will the lottery reach the next billion dollar jackpot?,1
225,451,452,How scary is it to drive on the road to Hana given all of the turns?,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,0
226,453,454,How do I create a new shell in a new terminal using C programming (Linux terminal)?,How do I create a new Terminal and new shell in Linux using C programming?,1
227,455,456,Does cognition affect perception?,Does cognitive strain affect digestion?,0
228,457,458,How TQWL is different from CKWL (Tatkal waiting list)?,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,0
229,459,460,How can we make the world a better place to live in for the future generations?,What can I do to make the world a better place?,1
230,461,462,How many Champions are there in League of Legends?,Who is the best LoL (League of Legends) champion?,0
231,463,464,Is drinking 4 liters of water each day unhealthy?,How many liters of water should I drink if I run 5kms daily?,0
232,465,466,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?","Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?",0
233,467,468,Do porn stars watch porn?,How can I book Ronda Rousey to star in an adult movie?,0
234,469,470,"Trump supporters, how do you feel about the way he's walking back his promises?",Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,0
235,471,472,Why are we worried about others' opinions?,Why do we care for others' opinion and about what others think about us?,1
236,473,474,How do you potty train a 4 months Pitbull?,How do I potty train my two-month-old Labrador pup?,1
237,475,476,"If I jump rope for five minutes, how many calories will I use?",What's the best way to jump rope?,0
238,477,478,Which online test series is best for GATE 2017 in CS stream?,Which test series is the best for GATE computer science stream?,1
239,479,480,What is the best material for understanding algorithmic analysis by a newbie?,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,0
240,481,482,What is the temperament of a Bullmastiff/Husky mix?,What is the temperament of a Corgi-Husky mix?,0
241,483,484,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?","How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?",0
242,485,486,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?","In ""A Raisin in the Sun"", why do Walter and Beneatha argue?",1
243,487,488,What are the signs of an ultra smart person playing dumb?,What are signs of ultra smart people hiding their intelligence?,1
244,489,490,If dark energy is created with expansion can infinite of it be created?,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1
245,491,492,How do you get a book published?,What are the good ways to write and publish a book?,0
246,493,494,Who is disrupting Bloomberg?,Who will disrupt Bloomberg?,1
247,495,496,Why can flash run so fast?,The Flash (DC character): How fast can the Flash run a mile?,0
248,497,498,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest â‚¹5000 over the next 6 months?,0
249,499,500,How will the implementation of GST bill impact the lives of common people?,What exactly is GST bill and how exactly will it affect the common people?,1
250,501,502,How can you recover your Gmail password?,"I do not remember my password to my Gmail account, how can I recover my account?",1
251,503,504,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,1
252,505,506,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0
253,507,508,What are the qualities of a good leader?,What are some good qualities of a leader?,1
254,509,510,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0
255,511,512,Will Modi win in 2019?,Can Narendra Modi become Prime Minister of India in 2019?,1
256,513,514,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0
257,515,516,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0
258,517,518,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,0
259,519,520,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,0
260,521,522,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,1
261,523,524,How do I choose a journal to publish my paper?,Where do I publish my paper?,1
262,525,526,What are your New Year's resolutions for 2017?,What is your creative New Year's resolution for 2017?,1
263,527,528,What do you do if you had a bad dream?,How do you not get bad dreams?,0
264,81,529,Why do Slavs squat?,Do squats work for men?,0
265,530,531,How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,0
266,532,533,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,0
267,534,535,How many months does it take to gain knowledge in developing Android apps from scratch?,How much time does it take to learn Android app development from scratch?,1
268,536,537,How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?",0
269,538,539,What are the rights of a prisoner?,"If I am in prison, what rights would I have?",1
270,540,541,How can I get free gems in Clash of Clans?,How can I get free gems Clash of Clans?,1
271,542,543,Why aren't there more apps like Word Lens?,What does Word Lens use for OCR?,0
272,544,545,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",0
273,546,547,What is the best way to get traffic on your website?,How do i get traffic for website?,1
274,548,549,How do you feel when someone upvotes your answer on Quora?,How does it feel to see upvotes to your answer on Quora?,1
275,550,551,What are some of the best films and TV shows that feature strong female protagonists?,What are the best female strong characters in films?,1
276,552,553,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0
277,554,555,How do most people die?,How do people die?,0
278,556,557,Why are most clothes made of polyester now instead of cotton?,How are cotton clothes made?,0
279,558,559,What is in bone marrow?,What does bone marrow taste like?,0
280,560,561,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0
281,562,563,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?",1
